"product_id","source_file","local_path","bytes","status"
"1","image-1.jpg","001_on-gold-standard-100-whey-5lbs/1.jpg","5858","skipped"
"2","image-2.jpg","002_rule-1-protein-isolate-5lbs/1.jpg","5622","skipped"
"3","image-3.jpg","003_dymatize-iso100-hydrolyzed-5lbs/1.jpg","7845","skipped"
"4","image-4.jpg","004_muscletech-nitrotech-whey-gold-5lbs/1.jpg","9681","skipped"
"5","image-5.jpg","005_nutrabolics-hydropure-4-5lbs/1.jpg","7500","skipped"
"6","image-6.jpg","006_mutant-iso-surge-5lbs/1.jpg","8380","skipped"
"7","image-7.jpg","007_allmax-isoflex-5lbs/1.jpg","8362","skipped"
"8","image-8.jpg","008_myprotein-impact-whey-isolate-1kg/1.jpg","6267","skipped"
"9","image-9.jpg","009_vpx-vp2-whey-isolate-2lbs/1.jpg","6361","skipped"
"10","image-10.jpg","010_bpi-sports-iso-hd-5lbs/1.jpg","7339","skipped"
"11","image-11.jpg","011_musclepharm-combat-whey-5lbs/1.jpg","9817","skipped"
"12","image-12.jpg","012_jym-pro-jym-protein-4lbs/1.jpg","10406","skipped"
"13","image-13.jpg","013_bsn-syntha-6-protein-5lbs/1.jpg","11508","skipped"
"14","image-14.jpg","014_myotein-premium-protein-4lbs/1.jpg","8196","skipped"
"15","image-15.jpg","015_dymatize-elite-100-whey-5lbs/1.jpg","8949","skipped"
"16","image-16.jpg","016_whey-labs-100-isolate-5lbs/1.jpg","5533","skipped"
"17","image-17.jpg","017_allmax-allwhey-gold-5lbs/1.jpg","9758","skipped"
"18","image-18.jpg","018_pvl-iso-gold-premium-5lbs/1.jpg","6501","skipped"
"19","image-19.jpg","019_scitec-whey-professional-5lbs/1.jpg","8962","skipped"
"20","image-20.jpg","020_biotechusa-iso-whey-zero-5lbs/1.jpg","8502","skipped"
"21","image-21.jpg","021_amix-gold-isolate-5lbs/1.jpg","8423","skipped"
"22","image-22.jpg","022_labrada-lean-body-meal-4-6lbs/1.jpg","5224","skipped"
"23","image-23.jpg","023_cellucor-c4-original-preworkout-30serv/1.jpg","8699","skipped"
"24","image-24.jpg","024_nutrex-outlift-clinical-20serv/1.jpg","8468","skipped"
"25","image-25.jpg","025_jnx-sports-the-curse-50serv/1.jpg","7293","skipped"
"26","image-26.jpg","026_insane-labz-psychotic-pre-35serv/1.jpg","10062","skipped"
"27","image-27.jpg","027_redcon1-total-war-30serv/1.jpg","8914","skipped"
"28","image-28.jpg","028_applied-nutrition-abe-pre-30serv/1.jpg","7134","skipped"
"29","image-29.jpg","029_ghost-legend-preworkout-30serv/1.jpg","11551","skipped"
"30","image-30.jpg","030_muscletech-vapor-x5-nextgen-30serv/1.jpg","11043","skipped"
"31","image-31.jpg","031_prosupps-mr-hyde-nitrox-30serv/1.jpg","8409","skipped"
"32","image-32.jpg","032_jym-pre-jym-high-performance-30serv/1.jpg","6016","skipped"
"33","image-33.jpg","033_5-nutrition-kill-it-30serv/1.jpg","5637","skipped"
"34","image-34.jpg","034_gaspari-superpump-max-30serv/1.jpg","13057","skipped"
"35","image-35.jpg","035_blackstone-labs-dust-x-25serv/1.jpg","12635","skipped"
"36","image-36.jpg","036_huge-supplements-wrecked-20serv/1.jpg","11356","skipped"
"37","image-37.jpg","037_gnc-beyond-raw-lit-30serv/1.jpg","8878","skipped"
"38","image-38.jpg","038_evl-engn-shred-30serv/1.jpg","17260","skipped"
"39","image-39.jpg","039_gat-sport-nitraflex-30serv/1.jpg","6367","skipped"
"40","image-40.jpg","040_alani-nu-pre-workout-30serv/1.jpg","6383","skipped"
"41","image-41.jpg","041_ryse-godzilla-preworkout-40serv/1.jpg","7677","skipped"
"42","image-42.jpg","042_aps-mesomorph-ultimate-25serv/1.jpg","14840","skipped"
"43","image-43.jpg","043_quest-nutrition-protein-bar-60g/1.jpg","8942","skipped"
"44","image-44.jpg","044_grenade-carb-killa-60g/1.jpg","8310","skipped"
"45","image-45.jpg","045_barebells-protein-bar-55g/1.jpg","5087","skipped"
"46","image-46.jpg","046_myprotein-impact-protein-bar-64g/1.jpg","4592","skipped"
"47","image-47.jpg","047_musclepharm-combat-crunch-63g/1.jpg","7322","skipped"
"48","image-48.jpg","048_bsn-protein-crisp-syntha6-57g/1.jpg","4964","skipped"
"49","image-49.jpg","049_robert-irvine-fit-crunch-bar-46g/1.jpg","5353","skipped"
"50","image-50.jpg","050_one-brands-protein-bar-60g/1.jpg","5093","skipped"
"51","image-51.jpg","051_on-micronized-creatine-powder-600g/1.jpg","7401","skipped"
"52","image-52.jpg","052_muscletech-platinum-creatine-400g/1.jpg","5886","skipped"
"53","image-53.jpg","053_rule-1-r1-creatine-375g/1.jpg","4954","skipped"
"54","image-54.jpg","054_mutant-creakong-cx8-249g/1.jpg","10292","skipped"
"55","image-55.jpg","055_myprotein-creatine-monohydrate-250g/1.jpg","6035","skipped"
"56","image-56.jpg","056_cellucor-cor-performance-creatine-360g/1.jpg","7794","skipped"
"57","image-57.jpg","057_dymatize-creatine-micronized-500g/1.jpg","9281","skipped"
"58","image-58.jpg","058_bpi-sports-best-creatine-300g/1.jpg","12079","skipped"
"59","image-59.jpg","059_nutrex-creatine-drive-300g/1.jpg","8288","skipped"
"60","image-60.jpg","060_allmax-creatine-monohydrate-400g/1.jpg","12865","skipped"
"61","image-61.jpg","061_biotechusa-100-creatine-monohydrate-300g/1.jpg","6511","skipped"
"62","image-62.jpg","062_scitec-100-creatine-monohydrate-300g/1.jpg","7466","skipped"
"63","image-63.jpg","063_kaged-muscle-creatine-hcl-75-serv/1.jpg","7903","skipped"
"64","image-64.jpg","064_rsp-creatine-monohydrate-500g/1.jpg","5637","skipped"
"65","image-65.jpg","065_pvl-100-pure-creatine-300g/1.jpg","6455","skipped"